# time                 amplitude              uBulk                  uAxis                  tauWall                
+6.1015677910519e+00   +3.8472519957831e+00   +1.2358744605823e+00   +2.3294745577073e+00   +7.6583847612573e-02   
+6.1032408285598e+00   +3.8481106863443e+00   +1.2299499937238e+00   +2.3230315082443e+00   +7.6684876314542e-02   
+6.1049138660676e+00   +3.8489670031976e+00   +1.2240247681704e+00   +2.3165870258187e+00   +7.6785857713426e-02   
+6.1065869035754e+00   +3.8498209458146e+00   +1.2180987875770e+00   +2.3101411144058e+00   +7.6886791746936e-02   
+6.1082599410833e+00   +3.8506725136686e+00   +1.2121720555990e+00   +2.3036937779818e+00   +7.6987678352809e-02   
+6.1099329785911e+00   +3.8515217062344e+00   +1.2062445758924e+00   +2.2972450205238e+00   +7.7088517468814e-02   
+6.1116060160989e+00   +3.8523685229880e+00   +1.2003163521135e+00   +2.2907948460096e+00   +7.7189309032748e-02   
+6.1132790536067e+00   +3.8532129634072e+00   +1.1943873879193e+00   +2.2843432584180e+00   +7.7290052982438e-02   
+6.1149520911146e+00   +3.8540550269710e+00   +1.1884576869668e+00   +2.2778902617288e+00   +7.7390749255741e-02   
+6.1166251286224e+00   +3.8548947131600e+00   +1.1825272529140e+00   +2.2714358599224e+00   +7.7491397790540e-02   
+6.1182981661302e+00   +3.8557320214563e+00   +1.1765960894189e+00   +2.2649800569802e+00   +7.7591998524753e-02   
+6.1199712036381e+00   +3.8565669513434e+00   +1.1706642001402e+00   +2.2585228568845e+00   +7.7692551396322e-02   
+6.1216442411459e+00   +3.8573995023062e+00   +1.1647315887371e+00   +2.2520642636185e+00   +7.7793056343221e-02   
